filename,energy
ABEFUL_w_CO2_1_relaxed.cif,-0.2694948100001966
ABEFUL_w_CO2_2_relaxed.cif,-0.23028232999990905
ABEFUL_w_CO2_3_relaxed.cif,-0.6263933300001554
ABEFUL_w_CO2_4_relaxed.cif,-0.3096351599999707
ABEFUL_w_CO2_5_relaxed.cif,-0.2541910200000075
ABEFUL_w_CO2_6_relaxed.cif,-0.23646217999998953
ABEFUL_w_CO2_random_1_relaxed.cif,-0.24014924999983123
ABEFUL_w_CO2_random_2_relaxed.cif,-0.2628686000000471
ABESUX_w_CO2_random_1_relaxed.cif,-0.5914658000000372
ABEXEM_w_CO2_1_relaxed.cif,-0.4851237800000945
ABEXEM_w_CO2_2_relaxed.cif,-0.5012391299999308
ABEXEM_w_CO2_3_relaxed.cif,-0.48912472000006346
ABEXEM_w_CO2_4_relaxed.cif,-0.4984450699998888
ABEXEM_w_CO2_5_relaxed.cif,-0.49229470999989644
ABEXEM_w_CO2_6_relaxed.cif,-0.45709216000000197
ABEXEM_w_CO2_random_1_relaxed.cif,-0.47468684000000394
ABEXEM_w_CO2_random_2_relaxed.cif,-0.3352489799999603
ABEXIQ_w_CO2_1_relaxed.cif,0.49513302000013937
ABEXIQ_w_CO2_2_relaxed.cif,0.4600287200000821
ABEXIQ_w_CO2_3_relaxed.cif,0.4484088100000463
ABEXIQ_w_CO2_4_relaxed.cif,0.4661386699999639
ABEXIQ_w_CO2_5_relaxed.cif,0.6716971400001057
ABEXIQ_w_CO2_6_relaxed.cif,0.4143298099997992
ABEXIQ_w_CO2_random_1_relaxed.cif,0.6067085100000895
ABEXIQ_w_CO2_random_2_relaxed.cif,0.6476285000001099
ABEXOW_w_CO2_1_relaxed.cif,-0.03478323999979693
ABEXOW_w_CO2_2_relaxed.cif,-0.4746121799996672
ABEXOW_w_CO2_4_relaxed.cif,0.07653096000035475
ABEXOW_w_CO2_5_relaxed.cif,-0.31003174999978
ABEXOW_w_CO2_6_relaxed.cif,-0.470583029999716
ABEXOW_w_CO2_7_relaxed.cif,-0.4452238699998361
ABEXOW_w_CO2_random_1_relaxed.cif,-0.460737429999881
ABEXOW_w_CO2_random_2_relaxed.cif,-0.3060614700000315
ABEYAJ_w_CO2_1_relaxed.cif,-0.42840427000010095
ABEYAJ_w_CO2_2_relaxed.cif,-0.28035337999995136
ABEYAJ_w_CO2_3_relaxed.cif,-0.40583272000026227
ABEYAJ_w_CO2_4_relaxed.cif,-0.4122904099999687
ABEYAJ_w_CO2_5_relaxed.cif,-0.39313121999998657
ABEYAJ_w_CO2_6_relaxed.cif,-0.4085657699999956
ABEYAJ_w_CO2_random_1_relaxed.cif,-0.3979905599999256
ABEYAJ_w_CO2_random_2_relaxed.cif,-0.44358923000004324
ABEYIR_w_CO2_1_relaxed.cif,-0.39002980999998726
ABEYIR_w_CO2_2_relaxed.cif,-0.39113708000013503
ABEYIR_w_CO2_3_relaxed.cif,-0.3988136600000871
