mof_name,atomic_number_mean,atomic_number_gmean,atomic_number_std,atomic_number_max,atomic_number_min,group_mean,group_gmean,group_std,group_max,group_min,period_mean,period_gmean,period_std,period_max,period_min,electronegativity_mean,electronegativity_gmean,electronegativity_std,electronegativity_max,electronegativity_min,electron_affinity_mean,electron_affinity_gmean,electron_affinity_std,electron_affinity_max,electron_affinity_min,melting_point_mean,melting_point_gmean,melting_point_std,melting_point_max,melting_point_min,boiling_point_mean,boiling_point_gmean,boiling_point_std,boiling_point_max,boiling_point_min,density_mean,density_gmean,density_std,density_max,density_min,ionization_energy_mean,ionization_energy_gmean,ionization_energy_std,ionization_energy_max,ionization_energy_min,energy
ABEFUL_w_CO2,6.099447513812155,4.197182519846987,7.079739181430305,65.0,1.0,10.850828729281767,7.030852636281961,6.085474225627517,16.0,1.0,1.8232044198895028,1.7149597582798135,0.6744858546754412,6.0,1.0,2.591988950276244,2.557271765085201,0.4223617101993793,3.44,1.1,1.1206557405138124,,0.4195375818193811,2.07710426,-0.07,1918.0472928176791,349.54145995135065,1859.5895885605312,3800.0,14.01,2206.555138121548,460.23141212510257,2093.512185623279,4300.0,20.28,2362.434343434344,2299.5622465479123,845.0983824338119,8219.0,1960.0,12.264312943567376,12.170483499507762,1.4393077908421807,14.53413,5.8638,-0.3036845850000134
ABESUX_w_CO2,25.37864077669903,14.133369064781109,32.798329493588355,92.0,6.0,13.300970873786408,11.429788022555748,5.071976982766658,16.0,3.0,3.1262135922330097,2.71661602433352,1.9342573982109248,7.0,2.0,2.837184466019417,2.6779758119590777,0.8432213053853554,3.44,1.38,1.125639854223301,0.9758260244541987,0.4714001370313093,1.461112979,0.314979,394.1708737864081,140.83818284029277,621.1737345316947,3800.0,54.8,1000.5165048543691,261.4316376658831,1629.7017154019009,4300.0,90.2,11146.891891891892,6519.503692595205,8572.416789326931,19050.0,1823.0,11.6671834368932,11.200850081502503,2.910903396142262,13.618055,6.19405,-0.5914658000000372
ABEXEM_w_CO2,9.020408163265309,6.258162816814294,11.6883972864512,57.0,1.0,12.775510204081632,10.18491312469424,4.994957890866402,16.0,1.0,2.108843537414966,1.9689315069561744,0.9837402711578354,6.0,1.0,2.7890476190476194,2.705339220632677,0.6051168811967627,3.44,1.1,1.091184560659864,,0.4821763531521437,1.461112979,-0.07,1565.4214965986396,293.4972258829487,1796.544024323115,3800.0,14.01,1912.35537414966,413.249011561552,2068.4303017552747,4300.0,20.28,2744.4153846153845,2563.074241595205,1274.350355065522,6146.0,2267.0,12.363778228538992,12.134129085075784,2.047596001033117,14.53413,5.5769,-0.46665692374998
ABEXIQ_w_CO2,9.07482993197279,6.264088905627129,11.911857943450904,58.0,1.0,12.775510204081632,10.18491312469424,4.994957890866402,16.0,1.0,2.108843537414966,1.9689315069561744,0.9837402711578354,6.0,1.0,2.7901360544217693,2.7079933745194134,0.6020881875363666,3.44,1.12,1.093503693721089,,0.4797002482068022,1.461112979,-0.07,1558.6187755102042,291.73463383739005,1798.1772586678817,3800.0,14.01,1906.3689795918367,412.5787165394497,2063.27619519297,4300.0,20.28,2811.246153846154,2589.921239090106,1452.739693245614,6689.0,2267.0,12.361693874797496,12.129579190722684,2.0545114698443685,14.53413,5.5386,0.526259147500042
ABEXOW_w_CO2,9.129251700680271,6.269919157330638,12.135444296917422,59.0,1.0,12.775510204081632,10.18491312469424,4.994957890866402,16.0,1.0,2.108843537414966,1.9689315069561744,0.9837402711578354,6.0,1.0,2.7906802721088435,2.7093036892896105,0.6005809657436135,3.44,1.13,1.0667866504557824,,0.5185325113111887,1.461112979,-0.07,1566.237823129252,293.69687117155985,1796.3780155478305,3800.0,14.01,1902.5594557823129,412.1421000305237,2060.1469675438148,4300.0,20.28,2805.2153846153847,2587.578644332885,1436.641944496398,6640.0,2267.0,12.357971425817905,12.12137901333374,2.066895105289493,14.53413,5.4702,-0.3031877512497942
ABEYAJ_w_CO2,9.29251700680272,6.286865490145888,12.806891684443094,62.0,1.0,12.775510204081632,10.18491312469424,4.994957890866402,16.0,1.0,2.108843537414966,1.9689315069561744,0.9837402711578354,6.0,1.0,2.792857142857143,2.7144375896269537,0.5946004203361663,3.44,1.17,1.06965823685034,,0.5133418478973542,1.461112979,-0.07,1573.693605442177,295.41897473328066,1795.1595867163226,3800.0,14.01,1821.6342857142856,400.2029264404262,2022.189285344788,4300.0,20.28,2892.9692307692308,2620.266313051265,1670.8806150717307,7353.0,2267.0,12.36741414690634,12.141995595687826,2.0355652799245663,14.53413,5.64371,-0.3962696950000292
ABEYIR_w_CO2,9.401360544217686,6.297737453761566,13.25503876156868,64.0,1.0,12.775510204081632,10.18491312469424,4.994957890866402,16.0,1.0,2.108843537414966,1.9689315069561744,0.9837402711578354,6.0,1.0,2.794489795918368,2.7181802278036646,0.5901667972152724,3.44,1.2,1.072395651816327,,0.5086067015402507,1.461112979,-0.07,1586.7548299319728,298.07052921738995,1794.3210423532837,3800.0,14.01,1900.3825850340136,411.88894901673615,2058.411702027477,4300.0,20.28,2960.4153846153845,2643.5503515007003,1850.9125806752124,7901.0,2267.0,12.39495645983151,12.198875577896915,1.9458503518309656,14.53413,6.1498,-0.3939730137500703
ABIXOZ_w_CO2,14.653846153846152,11.497417447137718,12.350466536477034,42.0,6.0,14.064102564102564,13.346193958583765,3.698023531666972,16.0,6.0,2.641025641025641,2.465416250015694,1.109104038660624,5.0,2.0,3.0434615384615387,2.9757188206495604,0.599024478167451,3.44,1.88,1.2447271636794874,1.191078744338951,0.3301412506604925,1.461112979,0.66225547,632.7384615384619,145.78552586793884,1098.944374275368,3800.0,54.8,1052.7538461538463,242.074841858884,1808.653000106128,4912.0,90.2,6954.625,5326.104432840031,3961.7615380503407,10280.0,1823.0,12.042063282051284,11.713705843870448,2.531890910908495,13.618055,7.09243,3.443304410000087
ABULOB_w_CO2,7.473684210526316,5.723079729700472,4.276846120961365,15.0,1.0,11.51578947368421,7.619302818306578,6.538731822793736,16.0,1.0,2.0,1.905406674254127,0.5803810000880093,3.0,1.0,2.7750526315789474,2.669518374001912,0.7280238192809653,3.44,1.57,0.9693751616947373,,0.6515544144894052,1.461112979,-0.52,321.69431578947376,93.44502610236908,611.9517869255502,3800.0,14.01,535.1418947368419,152.49578570188638,955.6499576158348,4300.0,20.28,1848.655172413793,1847.135195540022,79.98891124100889,2267.0,1823.0,12.519972164160333,12.394825178212225,1.6836805227354654,13.618055,9.322699,0.1443429371427912
ABUWOJ_w_CO2,6.969162995594714,4.649151548489795,6.844652609408056,30.0,1.0,11.162995594713657,7.472766335649394,5.911598829254424,16.0,1.0,1.894273127753304,1.77004807673597,0.7193442776017692,4.0,1.0,2.6276211453744494,2.574053818530068,0.5326110374955857,3.44,1.65,1.0550016594229072,,0.5296668629590859,1.461112979,-0.62,1690.0697797356825,286.41297195774183,1829.944050827025,3800.0,14.01,1948.6664317180616,390.08969612160047,2050.374443306587,4300.0,20.28,2956.982300884956,2666.8569712565054,1698.884391793007,7140.0,2267.0,12.30799390124807,12.22681273594048,1.384488436613701,13.618055,9.394197,-0.3477569483333885
ACAJIY_w_CO2,4.89405684754522,3.349650187357722,4.171595946511888,30.0,1.0,9.51421188630491,5.371216542677876,6.573903428787308,16.0,1.0,1.6589147286821706,1.5620177554834906,0.5637103554324913,4.0,1.0,2.592739018087855,2.563459482645428,0.3869702652039397,3.44,1.65,0.5493010101266149,,0.550731333644342,1.461112979,-0.62,933.235968992248,97.9523838937662,1591.7064444074629,3800.0,14.01,1066.2029974160207,126.23117956254691,1798.6101412243418,4300.0,20.28,2568.422680412371,2433.7216364299884,1173.8726887454648,7140.0,2267.0,13.331723003506688,13.258301862735886,1.3469186692941908,14.53413,9.394197,-0.3028537028570618
ACAJIZ_w_CO2,5.0638297872340425,3.1909277809668133,5.287497317816928,29.0,1.0,8.91063829787234,4.828001878253091,6.637457666413164,16.0,1.0,1.6595744680851063,1.5427795361385093,0.6548215850781735,4.0,1.0,2.5303404255319144,2.496933954118525,0.4322202588907229,3.44,1.9,1.037173463425532,,0.3477821898766514,1.461112979,-0.07,1501.169021276596,175.2118736871286,1810.7087862236576,3800.0,14.01,1761.41514893617,237.9719821969812,2061.590898622226,4300.0,20.28,2815.701030927835,2538.1456334970426,1830.1462065697424,8920.0,2267.0,12.547716185410176,12.450107042912386,1.4731354116752848,14.53413,7.72638,-0.460790441666821
ACAJOF_w_CO2,4.947368421052632,3.104822796137896,5.209115254893086,29.0,1.0,8.736842105263158,4.66776236400434,6.65819477328779,16.0,1.0,1.6437246963562753,1.5276732820368264,0.6509033687598831,4.0,1.0,2.51995951417004,2.487563005829894,0.4256421659347512,3.44,1.9,1.031651076392713,,0.344178394611495,1.461112979,-0.07,1490.2299595141703,169.694708186979,1810.1028409640128,3800.0,14.01,1746.132793522267,230.2729170046321,2060.5797707339025,4300.0,20.28,2793.970297029703,2526.8145464120066,1796.7291649514243,8920.0,2267.0,12.560898511615417,12.465440473188032,1.4584655888946554,14.53413,7.72638,-0.2487690350001608
